2025-11-09 08:36:17|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 08:46, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 08:43:50|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 08:44:13|INFO    |root                            |Provider podnapisi throttle count 2 of 5, waiting 5sec and trying again|
2025-11-09 08:46:21|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 08:46:21|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 08:56, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 08:52:31|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 08:56:22|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 08:56:23|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 09:06, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 09:02:14|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 09:05:16|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 09:06:23|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 09:06:23|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 09:16, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 09:09:47|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2025-11-09 09:16:42|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 09:16:42|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 09:26, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 09:26:16|INFO    |root                            |BAZARR Finished searching for Subtitles to upgrade. Check History for more information.|
2025-11-09 12:52:19|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2025-11-09 13:24:26|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 13:24:27|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 13:34, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 13:34:30|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 13:34:30|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 13:44, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 13:44:33|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 13:44:33|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 13:54, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 13:47:18|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 13:54:57|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 13:54:58|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 14:04, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 13:55:18|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 14:05, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
